Summary of the training: 
(' ave_R ', 216.44, ' std_R ', 174.9, ' min_R ', -4.58, ' max_R ', 877.22, ' times ', 24586887, ' epi', 14100, ' clock ', 14.72, ' min')
(' ave_R ', 219.38, ' std_R ', 180.42, ' min_R ', -4.58, ' max_R ', 877.22, ' times ', 24824606, ' epi', 14200, ' clock ', 14.86, ' min')
(' ave_R ', 229.52, ' std_R ', 180.13, ' min_R ', -4.58, ' max_R ', 877.22, ' times ', 25055907, ' epi', 14300, ' clock ', 14.98, ' min')
(' ave_R ', 229.49, ' std_R ', 183.8, ' min_R ', -4.58, ' max_R ', 877.22, ' times ', 25278592, ' epi', 14400, ' clock ', 15.11, ' min')
(' ave_R ', 231.19, ' std_R ', 186.82, ' min_R ', -4.58, ' max_R ', 877.22, ' times ', 25489287, ' epi', 14500, ' clock ', 15.23, ' min')
(' ave_R ', 222.48, ' std_R ', 184.28, ' min_R ', -7.02, ' max_R ', 877.22, ' times ', 25706238, ' epi', 14600, ' clock ', 15.35, ' min')
(' ave_R ', 222.59, ' std_R ', 186.58, ' min_R ', -7.02, ' max_R ', 877.22, ' times ', 25929494, ' epi', 14700, ' clock ', 15.48, ' min')
(' ave_R ', 221.48, ' std_R ', 185.7, ' min_R ', -7.02, ' max_R ', 877.22, ' times ', 26184887, ' epi', 14800, ' clock ', 15.62, ' min')
(' ave_R ', 219.84, ' std_R ', 189.36, ' min_R ', -7.02, ' max_R ', 877.22, ' times ', 26415544, ' epi', 14900, ' clock ', 15.75, ' min')
(' ave_R ', 203.36, ' std_R ', 175.59, ' min_R ', -7.02, ' max_R ', 810.1, ' times ', 26637923, ' epi', 15000, ' clock ', 15.88, ' min')
(' ave_R ', 205.84, ' std_R ', 174.56, ' min_R ', -7.02, ' max_R ', 734.86, ' times ', 26886399, ' epi', 15100, ' clock ', 16.02, ' min')
(' ave_R ', 190.62, ' std_R ', 161.63, ' min_R ', -7.02, ' max_R ', 673.55, ' times ', 27134494, ' epi', 15200, ' clock ', 16.16, ' min')
(' ave_R ', 192.28, ' std_R ', 163.15, ' min_R ', -7.02, ' max_R ', 673.55, ' times ', 27323574, ' epi', 15300, ' clock ', 16.28, ' min')
(' ave_R ', 199.87, ' std_R ', 161.47, ' min_R ', -7.02, ' max_R ', 673.55, ' times ', 27599639, ' epi', 15400, ' clock ', 16.42, ' min')
(' ave_R ', 216.39, ' std_R ', 168.98, ' min_R ', -7.02, ' max_R ', 824.08, ' times ', 27862795, ' epi', 15500, ' clock ', 16.56, ' min')
(' ave_R ', 231.26, ' std_R ', 179.7, ' min_R ', -0.77, ' max_R ', 894.74, ' times ', 28109388, ' epi', 15600, ' clock ', 16.7, ' min')
(' ave_R ', 244.31, ' std_R ', 190.24, ' min_R ', -0.77, ' max_R ', 894.74, ' times ', 28355874, ' epi', 15700, ' clock ', 16.83, ' min')
(' ave_R ', 241.67, ' std_R ', 196.25, ' min_R ', -0.77, ' max_R ', 894.74, ' times ', 28574636, ' epi', 15800, ' clock ', 16.95, ' min')
(' ave_R ', 249.16, ' std_R ', 193.88, ' min_R ', 11.18, ' max_R ', 894.74, ' times ', 28778784, ' epi', 15900, ' clock ', 17.07, ' min')
(' ave_R ', 252.52, ' std_R ', 195.77, ' min_R ', 11.18, ' max_R ', 894.74, ' times ', 29045476, ' epi', 16000, ' clock ', 17.21, ' min')
(' ave_R ', 248.57, ' std_R ', 198.59, ' min_R ', 11.18, ' max_R ', 894.74, ' times ', 29263780, ' epi', 16100, ' clock ', 17.34, ' min')
(' ave_R ', 261.22, ' std_R ', 201.42, ' min_R ', 11.18, ' max_R ', 894.74, ' times ', 29535743, ' epi', 16200, ' clock ', 17.48, ' min')
(' ave_R ', 255.29, ' std_R ', 200.07, ' min_R ', 0.56, ' max_R ', 894.74, ' times ', 29799240, ' epi', 16300, ' clock ', 17.62, ' min')
(' ave_R ', 269.57, ' std_R ', 219.85, ' min_R ', 0.56, ' max_R ', 1243.44, ' times ', 30083436, ' epi', 16400, ' clock ', 17.76, ' min')
(' ave_R ', 256.59, ' std_R ', 214.67, ' min_R ', -0.45, ' max_R ', 1243.44, ' times ', 30323962, ' epi', 16500, ' clock ', 17.9, ' min')
